,T2M,RH2M,PS,ARI,CAI,CIRE,DWSI,EVI,GCVI,MCARI,SIPI,pH,Temperature (Centigrate),EC (microsiemens per cm),N (mg/Kg),P  (mg/Kg),K  (mg/Kg)
253,21.6,61.62,98.23,1.43825,0.830516667,0.280991667,0.877425,0.188983333,0.716141667,-0.052808333,1.594925,88.60952381,23.2,966,175.8761905,12,17
254,20.62,64.25,98.26,1.438,0.830333333,0.280833333,0.8765,0.188666667,0.716833333,-0.053166667,1.5985,88,23.2,966,168.7383178,11.56074766,16.56074766
255,19.87,66.62,98.29,1.43775,0.83015,0.280675,0.875575,0.18835,0.717525,-0.053525,1.602075,88,23.2,966,163.6122449,11,15.60204082
256,19.25,68.94,98.28,1.4375,0.829966667,0.280516667,0.87465,0.188033333,0.718216667,-0.053883333,1.60565,88,23.2,966,158.75,11,15
257,18.73,71.19,98.27,1.43725,0.829783333,0.280358333,0.873725,0.187716667,0.718908333,-0.054241667,1.609225,87.80722892,23.2,966,156.4939759,10.86746988,15
258,18.28,73.44,98.26,1.437,0.8296,0.2802,0.8728,0.1874,0.7196,-0.0546,1.6128,86,23.2,966,150.8461538,10,15
259,17.86,75.94,98.26,1.43675,0.829416667,0.280041667,0.871875,0.187083333,0.720291667,-0.054958333,1.616375,86,23.2,966,150,10,14
260,17.45,78.31,98.26,1.4365,0.829233333,0.279883333,0.87095,0.186766667,0.720983333,-0.055316667,1.61995,86,23.2,966,147,10,14
261,17.1,80.25,98.26,1.43625,0.82905,0.279725,0.870025,0.18645,0.721675,-0.055675,1.623525,85.578125,23.2,966,145.8984375,10,14
262,16.83,81.44,98.28,1.436,0.828866667,0.279566667,0.8691,0.186133333,0.722366667,-0.056033333,1.6271,85,23.2,966,144,10,14
263,16.57,82.25,98.31,1.43575,0.828683333,0.279408333,0.868175,0.185816667,0.723058333,-0.056391667,1.630675,84.22807018,23.2,966,142.7719298,10,14
264,16.54,82.19,98.38,1.4355,0.8285,0.27925,0.86725,0.1855,0.72375,-0.05675,1.63425,84,23.2,966,143,10,14
265,18.4,75.06,98.46,1.43525,0.828316667,0.279091667,0.866325,0.185183333,0.724441667,-0.057108333,1.637825,84,23.2,966,138.4,9.177777778,14
270,28.69,43.19,98.48,1.434,0.8274,0.2783,0.8617,0.1836,0.7279,-0.0589,1.6557,84,23.2,982.05,188.4285714,13,18.45
271,29.61,40.44,98.42,1.43375,0.827216667,0.278141667,0.860775,0.183283333,0.728591667,-0.059258333,1.659275,84.46666667,23.2,987,196.8,13.46666667,19.46666667
272,29.65,40.25,98.4,1.4335,0.827033333,0.277983333,0.85985,0.182966667,0.729283333,-0.059616667,1.66285,85.43571429,23.2,987,200.8785714,14,20
273,29.11,42.88,98.4,1.43325,0.82685,0.277825,0.858925,0.18265,0.729975,-0.059975,1.666425,86.86131387,23.2,985.2773723,200.2189781,14,19.56934307
274,27.08,54.69,98.42,1.433,0.826666667,0.277666667,0.858,0.182333333,0.730666667,-0.060333333,1.67,88.18085106,23.2,983,196.6808511,13.81914894,19
275,22.49,68.94,98.53,1.4325,0.8263,0.27735,0.85615,0.1817,0.73205,-0.06105,1.67715,89,23.2,970,173.6470588,12,17
